Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Evolvability Characterization in the Context of SOA","Advances in Software Engineering","","","","10.1007/978-3-642-17578-7_25","Jose L. Arciniegas H.Juan C. Dueñas L.","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17578-7_25","Chapter"
"Towards a self-adaptive service-oriented methodology based on extended SOMA","Frontiers of Information Technology & Electronic Engineering","","16","1","10.1631/FITEE.1400040","Alireza Parvizi-MosaedShahrouz MoavenJafar HabibiGhazaleh BeigiMahdieh Naser-Shariat","2015","http://rd.springer.com/article/10.1631/FITEE.1400040","Article"
"Service Engineering","Service Research Challenges and Solutions for the Future Internet","","","","10.1007/978-3-642-17599-2_8","Vasilios AndrikopoulosAntonio BucchiaroneElisabetta Di NittoRaman KazhamiakinStephen LaneValentina MazzaIta Richardson","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17599-2_8","Chapter"
"A survey of autonomic computing methods in digital service ecosystems","Service Oriented Computing and Applications","","11","1","10.1007/s11761-016-0203-8","Dhaminda B. AbeywickramaEila Ovaska","2017","http://rd.springer.com/article/10.1007/s11761-016-0203-8","Article"
"Microservice Architecture Within In-House Infrastructures for Enterprise Integration and Measurement: An Experience Report","Innovations for Community Services","","","","10.1007/978-3-319-93408-2_1","Sebastian ApelFlorian HertrampfSteffen Späthe","2018","http://rd.springer.com/chapter/10.1007/978-3-319-93408-2_1","Chapter"
"Real-Time Service-Oriented Architectures: A Data-Centric Implementation for Distributed and Heterogeneous Robotic System","Embedded Systems: Design, Analysis and Verification","","","","10.1007/978-3-642-38853-8_24","Pekka AlhoJouni Mattila","2013","http://rd.springer.com/chapter/10.1007/978-3-642-38853-8_24","Chapter"
"Silverlight and Service-Oriented Architecture","Pro Silverlight for the Enterprise","","","","10.1007/978-1-4302-1868-5_4","","2009","http://rd.springer.com/chapter/10.1007/978-1-4302-1868-5_4","Chapter"
"Service-Oriented Operating System: A Key Element in Improving Service Availability","Service Availability","","","","10.1007/978-3-540-72736-1_4","Nikola MilanovicMiroslaw Malek","2007","http://rd.springer.com/chapter/10.1007/978-3-540-72736-1_4","Chapter"
"KATWARN—A Microservice-Based Architecture for Distributed, Flexible and Robust Warning Systems","Advances and New Trends in Environmental Informatics","","","","10.1007/978-3-319-99654-7_14","Ulrich MeissenStefan PfennigschmidtMarkus HardtDaniel Faust","2018","http://rd.springer.com/chapter/10.1007/978-3-319-99654-7_14","Chapter"
"A survey on quality attributes in service-based systems","Software Quality Journal","","24","2","10.1007/s11219-015-9268-4","David AmellerMatthias GalsterParis AvgeriouXavier Franch","2016","http://rd.springer.com/article/10.1007/s11219-015-9268-4","Article"
"A journey to highly dynamic, self-adaptive service-based applications","Automated Software Engineering","","15","3 - 4","10.1007/s10515-008-0032-x","Elisabetta Di NittoCarlo GhezziAndreas MetzgerMike PapazoglouKlaus Pohl","2008","http://rd.springer.com/article/10.1007/s10515-008-0032-x","Article"
"A Pattern Language for Process Execution and Integration Design in Service-Oriented Architectures","Transactions on Pattern Languages of Programming I","","","","10.1007/978-3-642-10832-7_6","Carsten HentrichUwe Zdun","2009","http://rd.springer.com/chapter/10.1007/978-3-642-10832-7_6","Chapter"
"Service Development Abstraction: A Design Methodology and Development Toolset for Abstractive and Flexible Service-Based Software","Cloud Computing and Services Science","","","","10.1007/978-1-4614-2326-3_9","Per-Olov ÖstbergErik Elmroth","2012","http://rd.springer.com/chapter/10.1007/978-1-4614-2326-3_9","Chapter"
"Detection of SOA Antipatterns","Service-Oriented Computing - ICSOC 2012 Workshops","","","","10.1007/978-3-642-37804-1_43","Francis Palma","2013","http://rd.springer.com/chapter/10.1007/978-3-642-37804-1_43","Chapter"
"Composition and Self-Adaptation of Service-Based Systems with Feature Models","Safe and Secure Software Reuse","","","","10.1007/978-3-642-38977-1_25","Javier CuboNadia GamezLidia FuentesErnesto Pimentel","2013","http://rd.springer.com/chapter/10.1007/978-3-642-38977-1_25","Chapter"
"Service based meta-model for the development of distributed embedded real-time systems","Real-Time Systems","","49","5","10.1007/s11241-013-9179-z","Muhammad Waqar AzizRadziah MohamadDayang N. A. JawawiRosbi Mamat","2013","http://rd.springer.com/article/10.1007/s11241-013-9179-z","Article"
"A taxonomic framework for autonomous service management in Service-Oriented Architecture","Journal of Zhejiang University SCIENCE C","","13","5","10.1631/jzus.C1100359","Du Wan CheunHyun Jung LaSoo Dong Kim","2012","http://rd.springer.com/article/10.1631/jzus.C1100359","Article"
"Guiding Architectural Decision Making on Quality Aspects in Microservice APIs","Service-Oriented Computing","","","","10.1007/978-3-030-03596-9_5","Uwe ZdunMirko StockerOlaf ZimmermannCesare PautassoDaniel Lübke","2018","http://rd.springer.com/chapter/10.1007/978-3-030-03596-9_5","Chapter"
"Towards a framework for the development of adaptable service-based applications","Service Oriented Computing and Applications","","8","3","10.1007/s11761-013-0136-4","Stephen LaneQing GuPatricia LagoIta Richardson","2014","http://rd.springer.com/article/10.1007/s11761-013-0136-4","Article"
"Organizational Constraints to Realizing Business Value from Service Oriented Architectures: An Empirical Study of Financial Service Institutions","Service-Oriented Computing – ICSOC 2008","","","","10.1007/978-3-540-89652-4_21","Haresh LuthriaFethi Rabhi","2008","http://rd.springer.com/chapter/10.1007/978-3-540-89652-4_21","Chapter"
"Service Oriented Architecture for Clinical Decision Support: A Systematic Review and Future Directions","Journal of Medical Systems","","38","12","10.1007/s10916-014-0140-z","Salvador Rodriguez LoyaKensaku KawamotoChris ChatwinVojtech Huser","2014","http://rd.springer.com/article/10.1007/s10916-014-0140-z","Article"
"Modeling enterprise service-oriented architectural styles","Service Oriented Computing and Applications","","4","2","10.1007/s11761-010-0059-2","Longji TangJing DongTu PengWei-Tek Tsai","2010","http://rd.springer.com/article/10.1007/s11761-010-0059-2","Article"
"Service oriented architectures: approaches, technologies and research issues","The VLDB Journal","","16","3","10.1007/s00778-007-0044-3","Mike P. PapazoglouWillem-Jan van den Heuvel","2007","http://rd.springer.com/article/10.1007/s00778-007-0044-3","Article"
"Can Component/Service-Based Systems Be Proved Correct?","SOFSEM 2009: Theory and Practice of Computer Science","","","","10.1007/978-3-540-95891-8_2","Christian Attiogbé","2009","http://rd.springer.com/chapter/10.1007/978-3-540-95891-8_2","Chapter"
"A Frame of Reference for SOA Migration","Towards a Service-Based Internet","","","","10.1007/978-3-642-17694-4_13","Maryam RazavianPatricia Lago","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17694-4_13","Chapter"
"Enhancing the OPEN Process Framework with service-oriented method fragments","Software & Systems Modeling","","13","1","10.1007/s10270-011-0222-z","Mahdi Fahmideh GholamiMohsen SharifiPooyan Jamshidi","2014","http://rd.springer.com/article/10.1007/s10270-011-0222-z","Article"
"Developing Realistic Approaches for the Migration of Legacy Components to Service-Oriented Architecture Environments","Trends in Enterprise Application Architecture","","","","10.1007/978-3-540-75912-6_17","Grace LewisDennis B. Smith","2007","http://rd.springer.com/chapter/10.1007/978-3-540-75912-6_17","Chapter"
"A review and future directions of SOA-based software architecture modeling approaches for System of Systems","Service Oriented Computing and Applications","","12","3 - 4","10.1007/s11761-018-0245-1","Ahmad MohsinNaeem Khalid Janjua","2018","http://rd.springer.com/article/10.1007/s11761-018-0245-1","Article"
"A Web Service-based Solution for E-Learning Resources Annotation and Retrieval – Conceptual Architecture","Innovative Techniques in Instruction Technology, E-learning, E-assessment, and Education","","","","10.1007/978-1-4020-8739-4_57","Mihaela BrutSabin Buraga","2008","http://rd.springer.com/chapter/10.1007/978-1-4020-8739-4_57","Chapter"
"Towards the Next Generation of Service-Based Systems: The S-Cube Research Framework","Advanced Information Systems Engineering","","","","10.1007/978-3-642-02144-2_6","Andreas MetzgerKlaus Pohl","2009","http://rd.springer.com/chapter/10.1007/978-3-642-02144-2_6","Chapter"
"A Certification-Aware Service-Oriented Architecture","Advanced Web Services","","","","10.1007/978-1-4614-7535-4_7","Marco AnisettiClaudio A. ArdagnaMichele BezziErnesto DamianiSamuel Paul KaluvuriAntonino Sabetta","2014","http://rd.springer.com/chapter/10.1007/978-1-4614-7535-4_7","Chapter"
"The impact of feature selection on maintainability prediction of service-oriented applications","Service Oriented Computing and Applications","","11","2","10.1007/s11761-016-0202-9","Lov KumarAneesh KrishnaSantanu Ku. Rath","2017","http://rd.springer.com/article/10.1007/s11761-016-0202-9","Article"
"Service-Oriented Approach for Agile Support of Product Design Processes","On the Move to Meaningful Internet Systems: OTM 2012 Workshops","","","","10.1007/978-3-642-33618-8_18","Safa HachaniHervé VerjusLilia Gzara","2012","http://rd.springer.com/chapter/10.1007/978-3-642-33618-8_18","Chapter"
"Web API and μService","Practical Scala DSLs","","","","10.1007/978-1-4842-3036-7_5","Pierluigi Riti","2018","http://rd.springer.com/chapter/10.1007/978-1-4842-3036-7_5","Chapter"
"Microservices tenets","Computer Science - Research and Development","","32","3 - 4","10.1007/s00450-016-0337-0","Olaf Zimmermann","2017","http://rd.springer.com/article/10.1007/s00450-016-0337-0","Article"
"Guiding the selection of service-oriented software engineering methodologies","Service Oriented Computing and Applications","","5","4","10.1007/s11761-011-0080-0","Qing GuPatricia Lago","2011","http://rd.springer.com/article/10.1007/s11761-011-0080-0","Article"
"Microservices: Yesterday, Today, and Tomorrow","Present and Ulterior Software Engineering","","","","10.1007/978-3-319-67425-4_12","Nicola DragoniSaverio GiallorenzoAlberto Lluch LafuenteManuel MazzaraFabrizio MontesiRuslan MustafinLarisa Safina","2017","http://rd.springer.com/chapter/10.1007/978-3-319-67425-4_12","Chapter"
"Service-Oriented Architecture","Business Process Technology","","","","10.1007/978-3-642-01588-5_8","Dr. Dirk Draheim","2010","http://rd.springer.com/chapter/10.1007/978-3-642-01588-5_8","Chapter"
"Quality-Driven Business Policy Specification and Refinement for Service-Oriented Systems","Service-Oriented Computing – ICSOC 2008","","","","10.1007/978-3-540-89652-4_5","Tan PhanJun HanJean-Guy SchneiderKirk Wilson","2008","http://rd.springer.com/chapter/10.1007/978-3-540-89652-4_5","Chapter"
"The Role of Quality Attributes in Service-Based Systems Architecting: A Survey","Software Architecture","","","","10.1007/978-3-642-39031-9_18","David AmellerMatthias GalsterParis AvgeriouXavier Franch","2013","http://rd.springer.com/chapter/10.1007/978-3-642-39031-9_18","Chapter"
"A survey of change management in service-based environments","Service Oriented Computing and Applications","","7","4","10.1007/s11761-013-0128-4","Yi WangYing Wang","2013","http://rd.springer.com/article/10.1007/s11761-013-0128-4","Article"
"Software Security in the Model for Service Oriented Architecture Quality","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-642-14390-8_24","Grzegorz KolaczekAdam Wasilewski","2010","http://rd.springer.com/chapter/10.1007/978-3-642-14390-8_24","Chapter"
"Evaluation of Microservice Architectures: A Metric and Tool-Based Approach","Information Systems in the Big Data Era","","","","10.1007/978-3-319-92901-9_8","Thomas EngelMelanie LangermeierBernhard BauerAlexander Hofmann","2018","http://rd.springer.com/chapter/10.1007/978-3-319-92901-9_8","Chapter"
"Domain-Specific Languages for Service-Oriented Architectures: An Explorative Study","Towards a Service-Based Internet","","","","10.1007/978-3-540-89897-9_14","Ernst OberortnerUwe ZdunSchahram Dustdar","2008","http://rd.springer.com/chapter/10.1007/978-3-540-89897-9_14","Chapter"
"Automating Component Selection and Building Flexible Composites for Service-Based Applications","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-642-14819-4_7","Jacky EstublierIdrissa A. DiengEric Simon","2010","http://rd.springer.com/chapter/10.1007/978-3-642-14819-4_7","Chapter"
"Flexibility and Interoperability in Automation Systems by Means of Service Oriented Architecture","Advanced Intelligent Computing Theories and Applications. With Aspects of Artificial Intelligence","","","","10.1007/978-3-642-14932-0_69","Vu Van TanMyeong-Jae Yi","2010","http://rd.springer.com/chapter/10.1007/978-3-642-14932-0_69","Chapter"
"Extracting Data from WSNs: A Service-Oriented Approach","Methodologies and Technologies for Networked Enterprises","","","","10.1007/978-3-642-31739-2_17","Gaetano F. AnastasiEnrico BiniGiuseppe Lipari","2012","http://rd.springer.com/chapter/10.1007/978-3-642-31739-2_17","Chapter"
"A Unified Conceptual Framework for Service-Oriented Computing","Transactions on Large-Scale Data- and Knowledge-Centered Systems VII","","","","10.1007/978-3-642-35332-1_5","Colin AtkinsonPhilipp BostanDirk Draheim","2012","http://rd.springer.com/chapter/10.1007/978-3-642-35332-1_5","Chapter"
"Using an Architecture-Centric Model-Driven Approach for Developing Service-Oriented Solutions: A Case Study","On the Move to Meaningful Internet Systems: OTM 2009 Workshops","","","","10.1007/978-3-642-05290-3_47","Marcos López-SanzCésar J. AcuñaValeria de CastroEsperanza MarcosCarlos E. Cuesta","2009","http://rd.springer.com/chapter/10.1007/978-3-642-05290-3_47","Chapter"
"Understanding Service-Oriented Architectures in the Classroom: From Web Services to Grid Services","Information Systems Development","","","","10.1007/b137171_87","D. PetcuV. Iordan","2010","http://rd.springer.com/chapter/10.1007/b137171_87","Chapter"
"Author Identification of Email Forensic in Service Oriented Architecture","Advances in Networks and Communications","","","","10.1007/978-3-642-17878-8_51","Pushpendra Kumar PateriyaShivani MishraShefalika Ghosh Samaddar","2011","http://rd.springer.com/chapter/10.1007/978-3-642-17878-8_51","Chapter"
"Exploring service-oriented system engineering challenges: a systematic literature review","Service Oriented Computing and Applications","","3","3","10.1007/s11761-009-0046-7","Qing GuPatricia Lago","2009","http://rd.springer.com/article/10.1007/s11761-009-0046-7","Article"
"Runtime Evolution of Service-Based Multi-tenant SaaS Applications","Service-Oriented Computing","","","","10.1007/978-3-642-45005-1_14","Indika KumaraJun HanAlan ColmanMalinda Kapuruge","2013","http://rd.springer.com/chapter/10.1007/978-3-642-45005-1_14","Chapter"
"Service Oriented Architecture Adoption Trends: A Critical Survey","Contemporary Computing","","","","10.1007/978-3-642-32129-0_21","Ashish SethAshim Raj SinglaHimanshu Aggarwal","2012","http://rd.springer.com/chapter/10.1007/978-3-642-32129-0_21","Chapter"
"Specification and Detection of SOA Antipatterns in Web Services","Software Architecture","","","","10.1007/978-3-319-09970-5_6","Francis PalmaNaouel MohaGuy TremblayYann-Gaël Guéhéneuc","2014","http://rd.springer.com/chapter/10.1007/978-3-319-09970-5_6","Chapter"
"Towards a Taxonomy Framework of Evolution for SOA Solution: From a Practical Point of View","Web Information Systems Engineering – WISE 2011 and 2012 Workshops","","","","10.1007/978-3-642-38333-5_28","Zaiwen FengPatrick C. K. HungKeqing HeYutao MaMatthias FarwickBing LiRong Peng","2013","http://rd.springer.com/chapter/10.1007/978-3-642-38333-5_28","Chapter"
"Ensuring and Assessing Architecture Conformance to Microservice Decomposition Patterns","Service-Oriented Computing","","","","10.1007/978-3-319-69035-3_29","Uwe ZdunElena NavarroFrank Leymann","2017","http://rd.springer.com/chapter/10.1007/978-3-319-69035-3_29","Chapter"
"Methodologies for Design of Service-Based Systems","Intentional Perspectives on Information Systems Engineering","","","","10.1007/978-3-642-12544-7_17","Barbara Pernici","2010","http://rd.springer.com/chapter/10.1007/978-3-642-12544-7_17","Chapter"
"Anatomy of one service-oriented architecture implementation and reasons behind low service reuse","Service Oriented Computing and Applications","","10","2","10.1007/s11761-015-0181-2","Ville AlkkiomäkiKari Smolander","2016","http://rd.springer.com/article/10.1007/s11761-015-0181-2","Article"
"Introduction to Semantically Enabled Service-oriented Architectures","Implementing Semantic Web Services","","","","10.1007/978-3-540-77020-6_4","","2008","http://rd.springer.com/chapter/10.1007/978-3-540-77020-6_4","Chapter"
"Designing Service-Based Resource Management Tools for a Healthy Grid Ecosystem","Parallel Processing and Applied Mathematics","","","","10.1007/978-3-540-68111-3_28","Erik ElmrothFrancisco HernándezJohan TordssonPer-Olov Östberg","2008","http://rd.springer.com/chapter/10.1007/978-3-540-68111-3_28","Chapter"
"Measuring the Quality of Service Oriented Design","Service-Oriented Computing","","","","10.1007/978-3-642-10383-4_36","Renuka SindhgattaBikram SenguptaKarthikeyan Ponnalagu","2009","http://rd.springer.com/chapter/10.1007/978-3-642-10383-4_36","Chapter"
"Towards Quality-Driven SOA Systems Refactoring Through Planning","E-Technologies","","","","10.1007/978-3-319-17957-5_18","Mathieu NayrollesEric BeaudryNaouel MohaPetko ValtchevAbdelwahab Hamou-Lhadj","2015","http://rd.springer.com/chapter/10.1007/978-3-319-17957-5_18","Chapter"
"Improving Security of Oil Pipeline SCADA Systems Using Service-Oriented Architectures","On the Move to Meaningful Internet Systems: OTM 2008 Workshops","","","","10.1007/978-3-540-88875-8_56","Nary Subramanian","2008","http://rd.springer.com/chapter/10.1007/978-3-540-88875-8_56","Chapter"
"A Service Oriented Modeling and Analysis for Building Intrusion Detection Systems","Global Trends in Computing and Communication Systems","","","","10.1007/978-3-642-29219-4_75","Rama Rao K.V.S.N.Manas Ranjan Patra","2012","http://rd.springer.com/chapter/10.1007/978-3-642-29219-4_75","Chapter"
"Comparing Architectural Styles for Service-Oriented Architectures – a REST vs. SOAP Case Study","Information Systems Development","","","","10.1007/b137171_22","Jörg BeckerMartin MatznerOliver Müller","2010","http://rd.springer.com/chapter/10.1007/b137171_22","Chapter"
"Change impact analysis in service-based business processes","Service Oriented Computing and Applications","","6","2","10.1007/s11761-011-0093-8","Yi WangJian YangWeiliang ZhaoJianwen Su","2012","http://rd.springer.com/article/10.1007/s11761-011-0093-8","Article"
"Towards Interdisciplinary Approach to SOA Implementations","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-642-32341-6_13","Zheng LiHe ZhangLiam O’Brien","2013","http://rd.springer.com/chapter/10.1007/978-3-642-32341-6_13","Chapter"
"Microservices: The What and the Why","Microservices From Day One","","","","10.1007/978-1-4842-1937-9_1","Cloves Carneiro Jr.Tim Schmelmer","2016","http://rd.springer.com/chapter/10.1007/978-1-4842-1937-9_1","Chapter"
"Architecture Means (WITH WHAT)","Software Architecture","","","","10.1007/978-3-642-19736-9_6","Oliver VogelIngo ArnoldArif ChughtaiTimo Kehrer","2011","http://rd.springer.com/chapter/10.1007/978-3-642-19736-9_6","Chapter"
"MINERVA: Model drIveN and sErvice oRiented Framework for the Continuous Business Process improVement and relAted Tools","Service-Oriented Computing. ICSOC/ServiceWave 2009 Workshops","","","","10.1007/978-3-642-16132-2_43","Andrea DelgadoFrancisco RuizIgnacio García-Rodríguez de GuzmánMario Piattini","2010","http://rd.springer.com/chapter/10.1007/978-3-642-16132-2_43","Chapter"
"Empowering End-Users to Develop Service-Based Applications","End-User Development","","","","10.1007/978-3-642-21530-8_53","Nikolay MehandjievAntonella De AngeliUsman WajidAbdallah NamounAlberto Battocchi","2011","http://rd.springer.com/chapter/10.1007/978-3-642-21530-8_53","Chapter"
"UML Profile for the Platform Independent Modelling of Service-Oriented Architectures","Software Architecture","","","","10.1007/978-3-540-75132-8_30","Marcos López-SanzCésar J. AcuñaCarlos E. CuestaEsperanza Marcos","2007","http://rd.springer.com/chapter/10.1007/978-3-540-75132-8_30","Chapter"
"Adaptation of Service-Based Systems","Service Research Challenges and Solutions for the Future Internet","","","","10.1007/978-3-642-17599-2_5","Raman KazhamiakinSalima BenbernouLuciano BaresiPierluigi PlebaniMaike UhligOlivier Barais","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17599-2_5","Chapter"
"Towards a Process to Design Architectures of Service-Oriented Robotic Systems","Software Architecture","","","","10.1007/978-3-319-09970-5_20","Lucas Bueno Ruas OliveiraElena LerouxKatia Romero FelizardoFlavio OquendoElisa Yumi Nakagawa","2014","http://rd.springer.com/chapter/10.1007/978-3-319-09970-5_20","Chapter"
"Analytical Quality Assurance","Service Research Challenges and Solutions for the Future Internet","","","","10.1007/978-3-642-17599-2_7","Andreas MetzgerSalima BenbernouManuel CarroMaha DrissGabor KecskemetiRaman KazhamiakinKyriakos KrytikosAndrea MocciElisabetta Di NittoBranimir WetzsteinFabrizio Silvestri","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17599-2_7","Chapter"
"Levering object-oriented knowledge for service-oriented proficiency","Computing","","95","9","10.1007/s00607-013-0304-6","Gary StubbingsSimon Polovina","2013","http://rd.springer.com/article/10.1007/s00607-013-0304-6","Article"
"Model-Driven Development of Adaptive Service-Based Systems with Aspects and Rules","Web Information Systems Engineering – WISE 2010","","","","10.1007/978-3-642-17616-6_48","Jian YuQuan Z. ShengJoshua K. Y. Swee","2010","http://rd.springer.com/chapter/10.1007/978-3-642-17616-6_48","Chapter"
"Specification and Detection of SOA Antipatterns","Service-Oriented Computing","","","","10.1007/978-3-642-34321-6_1","Naouel MohaFrancis PalmaMathieu NayrollesBenjamin Joyen ConseilYann-Gaël GuéhéneucBenoit BaudryJean-Marc Jézéquel","2012","http://rd.springer.com/chapter/10.1007/978-3-642-34321-6_1","Chapter"
"Service-Oriented Architecture (SOA) as a Technical Framework for Web-Based Support Systems (WSS)","Web-based Support Systems","","","","10.1007/978-1-84882-628-1_19","Vishav Vir Singh","2010","http://rd.springer.com/chapter/10.1007/978-1-84882-628-1_19","Chapter"
"Model-based service-oriented architectures for Internetworked Enterprises","Evolving Towards the Internetworked Enterprise","","","","10.1007/978-1-4419-7279-8_4","Devis BianchiniMarco BrambillaAlessandro CampiCinzia CappielloStefano CeriMarco ComuzziValeria De AntonellisBarbara PerniciPierluigi Plebani","2010","http://rd.springer.com/chapter/10.1007/978-1-4419-7279-8_4","Chapter"
"Towards a Conceptual Framework for Legacy to SOA Migration","Service-Oriented Computing. ICSOC/ServiceWave 2009 Workshops","","","","10.1007/978-3-642-16132-2_42","Maryam RazavianPatricia Lago","2010","http://rd.springer.com/chapter/10.1007/978-3-642-16132-2_42","Chapter"
"Goal Oriented Variability Modeling in Service-Based Business Processes","Service-Oriented Computing","","","","10.1007/978-3-642-45005-1_39","Karthikeyan PonnalaguNanjangud C. NarendraAditya GhoseNeeraj ChikteySrikanth Tamilselvam","2013","http://rd.springer.com/chapter/10.1007/978-3-642-45005-1_39","Chapter"
"Soda: A Tool Support for the Detection of SOA Antipatterns","Service-Oriented Computing - ICSOC 2012 Workshops","","","","10.1007/978-3-642-37804-1_51","Mathieu NayrollesFrancis PalmaNaouel MohaYann-Gaël Guéhéneuc","2013","http://rd.springer.com/chapter/10.1007/978-3-642-37804-1_51","Chapter"
"Introduction to Service Oriented Architecture","Web Service Implementation and Composition Techniques","","","","10.1007/978-3-319-55542-3_1","Hye-young PaikAngel Lagares LemosMoshe Chai BarukhBoualem BenatallahAarthi Natarajan","2017","http://rd.springer.com/chapter/10.1007/978-3-319-55542-3_1","Chapter"
"Classification of Software Quality Attributes for Service Oriented Architecture","High Performance Architecture and Grid Computing","","","","10.1007/978-3-642-22577-2_6","Satish KumarNeeta SinghAnuj Kumar","2011","http://rd.springer.com/chapter/10.1007/978-3-642-22577-2_6","Chapter"
"Adaptation Goals for Adaptive Service-Oriented Architectures","Relating Software Requirements and Architectures","","","","10.1007/978-3-642-21001-3_10","Luciano BaresiLiliana Pasquale","2011","http://rd.springer.com/chapter/10.1007/978-3-642-21001-3_10","Chapter"
"Automating identification of services and their variability for product lines using NSGA-II","Frontiers of Computer Science","","11","3","10.1007/s11704-016-5121-6","Sedigheh KhoshnevisFereidoon Shams","2017","http://rd.springer.com/article/10.1007/s11704-016-5121-6","Article"
"A Service-Oriented Reference Architecture for Software Testing Tools","Software Architecture","","","","10.1007/978-3-642-23798-0_42","Lucas Bueno Ruas OliveiraElisa Yumi Nakagawa","2011","http://rd.springer.com/chapter/10.1007/978-3-642-23798-0_42","Chapter"
"Detection of SOA Patterns","Service-Oriented Computing","","","","10.1007/978-3-642-45005-1_9","Anthony DemangeNaouel MohaGuy Tremblay","2013","http://rd.springer.com/chapter/10.1007/978-3-642-45005-1_9","Chapter"
"A human-centric runtime framework for mixed service-oriented systems","Distributed and Parallel Databases","","29","5 - 6","10.1007/s10619-011-7081-z","Daniel Schall","2011","http://rd.springer.com/article/10.1007/s10619-011-7081-z","Article"
"Service Retrieval for Service-Oriented Business Process Modeling","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-642-54092-9_11","Youcef BaghdadiRicardo Pérez-Castillo","2013","http://rd.springer.com/chapter/10.1007/978-3-642-54092-9_11","Chapter"
"A Literature Review on Service Identification Challenges in Service Oriented Architecture","Knowledge Management in Organizations","","","","10.1007/978-3-319-95204-8_18","Basel Bani-IsmailYoucef Baghdadi","2018","http://rd.springer.com/chapter/10.1007/978-3-319-95204-8_18","Chapter"
"Service-Oriented Database Architecture","Pro SQL Server 2008 Service Broker","","","","10.1007/978-1-4302-0865-5_9","","2008","http://rd.springer.com/chapter/10.1007/978-1-4302-0865-5_9","Chapter"
"Service-Oriented Database Architecture","Pro SQL Server 2005 Service Broker","","","","10.1007/978-1-4302-0306-3_9","","2007","http://rd.springer.com/chapter/10.1007/978-1-4302-0306-3_9","Chapter"
"A Graph Grammar-Based Dynamic Reconfiguration for Virtualized Web Service-Based Composite Architectures","Business System Management and Engineering","","","","10.1007/978-3-642-32439-0_11","Ismael Bouassida RodriguezRiadh Ben HalimaKhalil DriraChristophe ChassotMohamed Jmaiel","2012","http://rd.springer.com/chapter/10.1007/978-3-642-32439-0_11","Chapter"
"Security modeling for service-oriented systems using security pattern refinement approach","Software & Systems Modeling","","13","2","10.1007/s10270-012-0268-6","Mukhtiar MemonGordhan D. MenghwarMansoor H. DeparAkhtar A. JalbaniWaqar M. Mashwani","2014","http://rd.springer.com/article/10.1007/s10270-012-0268-6","Article"
"A Service-Oriented Architecture Design of Decision-Aware Information Systems: Decision as a Service","On the Move to Meaningful Internet Systems. OTM 2017 Conferences","","","","10.1007/978-3-319-69462-7_23","Faruk HasićJohannes De SmedtJan Vanthienen","2017","http://rd.springer.com/chapter/10.1007/978-3-319-69462-7_23","Chapter"
"Model-driven software migration into service-oriented architectures","Computer Science - Research and Development","","28","1","10.1007/s00450-011-0183-z","Andreas FuhrTassilo HornVolker RiedigerAndreas Winter","2013","http://rd.springer.com/article/10.1007/s00450-011-0183-z","Article"
"Agent Service-Oriented Architectural Design","Metasynthetic Computing and Engineering of Complex Systems","","","","10.1007/978-1-4471-6551-4_10","Longbing Cao","2015","http://rd.springer.com/chapter/10.1007/978-1-4471-6551-4_10","Chapter"
"Integrating Perfective and Corrective Adaptation of Service-based Applications","Service Engineering","","","","10.1007/978-3-7091-0415-6_6","Andreas GehlertAndreas MetzgerDimka KarastoyanovaRaman KazhamiakinKlaus PohlFrank LeymannMarco Pistore","2011","http://rd.springer.com/chapter/10.1007/978-3-7091-0415-6_6","Chapter"
"DAMASCo: A Framework for the Automatic Composition of Component-Based and Service-Oriented Architectures","Software Architecture","","","","10.1007/978-3-642-23798-0_41","Javier CuboErnesto Pimentel","2011","http://rd.springer.com/chapter/10.1007/978-3-642-23798-0_41","Chapter"
"Variability in Web Services","Systems and Software Variability Management","","","","10.1007/978-3-642-36583-6_18","Matthias GalsterParis Avgeriou","2013","http://rd.springer.com/chapter/10.1007/978-3-642-36583-6_18","Chapter"
"Feature-Based Variability Meta-modeling for Service-Oriented Product Lines","Models in Software Engineering","","","","10.1007/978-3-642-29645-1_9","Mohammad Abu-MatarHassan Gomaa","2012","http://rd.springer.com/chapter/10.1007/978-3-642-29645-1_9","Chapter"
"Qbox-Services: Towards a Service-Oriented Quality Platform","Advances in Conceptual Modeling - Challenging Perspectives","","","","10.1007/978-3-642-04947-7_28","Laura GonzálezVerónika PeraltaMokrane BouzeghoubRaúl Ruggia","2009","http://rd.springer.com/chapter/10.1007/978-3-642-04947-7_28","Chapter"
"A Platform for the Automated Provisioning of Architecture Information for Large-Scale Service-Oriented Software Systems","Software Architecture","","","","10.1007/978-3-030-00761-4_14","Georg BuchgeherRainer WeinreichHeinz Huber","2018","http://rd.springer.com/chapter/10.1007/978-3-030-00761-4_14","Chapter"
