"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1410166","Patrick  Schmitz","","","","The CONCUR Framework Forcommunity Maintenance of Curated Resources","123--126","","4","SOA, community, curation, ontology, structured information","10.1145/1410140.1410166","","","","","","","2008","","Proceedings of the Eighth ACM Symposium on Document Engineering","DocEng '08","","978-1-60558-081-4","Sao Paulo, Brazil","ACM","New York, NY, USA"
"article","3004852","Jessica  D&#237;az and Jennifer  P&#233;rez and Jorge  P&#233;rez and Juan  Garbajosa","","","","Conceptualizing a Framework for Cyber-physical Systems of Systems Development and Deployment","1:1--1:7","1","7","cloud computing, cyber-physical systems, microservices, model-driven development, software architecture","10.1145/2993412.3004852","","","","","","","2016","","Proccedings of the 10th European Conference on Software Architecture Workshops","ECSAW '16","","978-1-4503-4781-5","Copenhagen, Denmark","ACM","New York, NY, USA"
"article","3029388","M.  Alloghani and A.  Hussain and D.  Al-Jumeily and A. J. Aljaaf and J.  Mustafina","","","","Gamification in e-Governance: Development of an Online Gamified System to Enhance Government Entities Services Delivery and Promote Public's Awareness","176--181","","6","G2C, Gamification, ICT, SOA, e-Governance","10.1145/3029387.3029388","","","","","","","2017","","Proceedings of the 5th International Conference on Information and Education Technology","ICIET '17","","978-1-4503-4803-4","Tokyo, Japan","ACM","New York, NY, USA"
"article","2489335","Mariam  Lahami and Moez  Krichen and Mohamed  Jmaiel","","","","Runtime Testing Framework for Improving Quality in Dynamic Service-based Systems","17--24","","8","Dynamic adaptations, OSGi-based applications, resource aware tests, runtime testing, test isolation","10.1145/2489300.2489335","","","","","","","2013","","Proceedings of the 2013 International Workshop on Quality Assurance for Service-based Applications","QASBA 2013","","978-1-4503-2182-2","Lugano, Switzerland","ACM","New York, NY, USA"
"article","2904368","Rory V. O'Connor and Peter  Elger and Paul M. Clarke","","","","Exploring the Impact of Situational Context: A Case Study of a Software Development Process for a Microservices Architecture","6--10","","5","Agile, lean, process selection, software development context, software development process","10.1145/2904354.2904368","","","","","","","2016","","Proceedings of the International Conference on Software and Systems Process","ICSSP '16","","978-1-4503-4188-2","Austin, Texas","ACM","New York, NY, USA"
"article","2248469","Enric  Pastor and Pablo  Royo and Eduard  Santamaria and Marc P. Batlle and Cristina  Barrado and Xavier  Prats","","","","An Architecture to Automate UAS Operations in Non-segregated Airspace","5--14","","10","SOA architectures, UAS automation, airspace integration","","","","","","","","2011","","Proceedings of the 1st International Conference on Application and Theory of Automation in Command and Control Systems","ATACCS '11","","978-1-4503-1506-7","Barcelona, Spain","IRIT Press","Toulouse, France, France"
"article","1785451","Domenico  Talia and Paolo  Trunfio","","","","How Distributed Data Mining Tasks Can Thrive As Knowledge Services","132--137","","6","","10.1145/1785414.1785451","Commun. ACM","July 2010","53","7","","July","2010","0001-0782","","","","","","ACM","New York, NY, USA"
"article","2568094","Radu  Calinescu and Yasmin  Rafiq and Kenneth  Johnson and Mehmet Emin Bak&#305;r","","","","Adaptive Model Learning for Continual Verification of Non-functional Properties","87--98","","12","discrete-time markov models, on-line model learning, runtime quantitative verification, service-based systems","10.1145/2568088.2568094","","","","","","","2014","","Proceedings of the 5th ACM/SPEC International Conference on Performance Engineering","ICPE '14","","978-1-4503-2733-6","Dublin, Ireland","ACM","New York, NY, USA"
"article","3140071","Paolo  Bocciarelli and Andrea  D'Ambrogio and Antonio  Mastromattei and Emiliano  Paglia and Andrea  Giglio","","","","Business Process Modeling and Simulation: State of the Art and MSaaS Opportunities","6:1--6:12","6","12","MSaaS, architecture, business processes, soa, survey","","","","","","","","2017","","Proceedings of the Summer Simulation Multi-Conference","SummerSim '17","","","Bellevue, Washington","Society for Computer Simulation International","San Diego, CA, USA"
"article","3176176","Carlos E. Cuesta and Elena  Navarro and Uwe  Zdun","","","","Synergies of System-of-systems and Microservices Architectures","1:1--1:7","1","7","IoT, container, emergent behavior, microservices architecture, scalability, self-adaptation, system-of-systems","10.1145/3175731.3176176","","","","","","","2016","","Proceedings of the International Colloquium on Software-intensive Systems-of-Systems at 10th European Conference on Software Architecture","SiSoS@ECSA '16","","978-1-4503-6399-0","Copenhagen, Denmark","ACM","New York, NY, USA"
